,증권사,제목,링크,코드,위험군,펀드규모,3개월 수익률
10,NH투자증권,[펀드] [채권형] 한국투자e단기채ESG증권투자신탁(채권)C-R,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PDHA12,C-R(PDHA12),저위험," 150,118,475,243 ",0.92
11,NH투자증권,[펀드] [채권형] 키움ESG중장기우량채증권자투자신탁제1호[채권]C-P,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=DDAP07,C-P(DDAP07),저위험," 7,091,049,788 ",-1.39
12,NH투자증권,[펀드] [주식형] 트러스톤ESG제갈공명증권투자신탁[주식]C1 ,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=DATR07,C1(DATR07),초고위험군," 29,885,219,000 ",-7.69
13,NH투자증권,[펀드] [채권형] 키움파이어니어ESG증권자투자신탁제1호[채권]C-e,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PDAA47,C-e(PDAA47),저위험," 18,585,231,964 ",-1.32
14,NH투자증권,[펀드] [채권형] 키움ESG중장기우량채증권자투자신탁제1호[채권]A1,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=DDA985,A1(DDA985),저위험," 7,091,049,788 ",-1.36
15,NH투자증권,[펀드] [주식형] 트러스톤ESG지배구조레벨업증권자투자신탁[주식]Ce,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NATP05,Ce(NATP05),초고위험군," 22,824,974,254 ",-5.29
16,NH투자증권,[펀드] [주식형] 트러스톤ESG제갈공명증권투자신탁[주식]A,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=DATR06,A(DATR06),초고위험군," 29,885,219,000 ",-7.55
17,NH투자증권,[펀드] [주식형] 트러스톤ESG제갈공명증권투자신탁[주식]Ce,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NATR08,Ce(NATR08),초고위험군," 29,885,219,000 ",-7.57
18,NH투자증권,[펀드] [주식형] 트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp2-E,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PATP08,Cp2-E(PATP08),초고위험군," 22,824,974,254 ",-5.26
19,NH투자증권,[펀드] [주식형] 트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp-E,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NATP06,Cp-E(NATP06),초고위험군," 22,824,974,254 ",-5.26
20,NH투자증권,[펀드] [채권형] 키움ESG중장기우량채증권자투자신탁제1호[채권]C1,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=DDA986,C1(DDA986),저위험," 7,091,049,788 ",-1.40
21,NH투자증권,[펀드] [주식형] 트러스톤ESG지배구조레벨업증권자투자신탁[주식]Ae,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NATP04,Ae(NATP04),초고위험군," 22,824,974,254 ",-5.25
22,NH투자증권,[펀드] [주식형] 삼성ESG착한책임투자증권투자신탁제1호[주식]Ae ,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAS023,Ae(NAS023),초고위험군," 30,216,797,023 ",-5.96
23,NH투자증권,[펀드] [주식형] 삼성ESG착한책임투자증권투자신탁제1호[주식]Ce,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAS024,Ce(NAS024),초고위험군," 30,216,797,023 ",-6.01
24,NH투자증권,[펀드] [주식형] 삼성ESG착한책임투자증권투자신탁제1호[주식]Cpe,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PAS027,Cpe(PAS027),초고위험군," 30,216,797,023 ",-5.97
25,NH투자증권,[펀드] [주식형] 삼성ESG착한책임투자증권투자신탁제1호[주식]C-Pe ,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAS025,C-Pe(NAS025),초고위험군," 30,216,797,023 ",-5.99
26,NH투자증권,[펀드] [주식형] 다올ESG1등주증권투자신탁[주식]CPe ,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PAK033,CPe(PAK033),초고위험군," 31,534,336,973 ",-9.65
27,NH투자증권,[펀드] [주식형] 다올ESG1등주증권투자신탁[주식]C-Pe,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAK031,C-Pe(NAK031),초고위험군," 31,534,336,973 ",-9.68
28,NH투자증권,[펀드] [주식형] 다올ESG1등주증권투자신탁[주식]Ae,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAK029,Ae(NAK029),초고위험군," 31,534,336,973 ",-9.66
29,NH투자증권,[기타] [Mid-Small Cap] NH글로벌 ESG EMP 랩,https://www.nhqv.com/finance/wrap/WrapProdDetail.action?pd_cd=WRP123,랩,초고위험군,-,0.00
30,하나증권,우리G코리아ESG증권자투자신탁[주식]C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,-,높은위험," 11,900,000,000 ",-7.11
31,하나증권,한국투자크레딧포커스ESG증권자투자신탁1호(채권)C-Pe,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,낮은위험," 401,600,000,000 ",0.95
32,하나증권,한국투자크레딧포커스ESG증권자투자신탁1호(채권)A-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-e,낮은위험," 401,600,000,000 ",0.95
33,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,매우낮은위험," 69,200,000,000 ",1.14
34,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류Ce,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ce,매우낮은위험," 69,200,000,000 ",1.17
35,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,매우낮은위험," 69,200,000,000 ",1.18
36,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류Ae,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ae,매우낮은위험," 69,200,000,000 ",1.19
37,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류CF,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,CF,매우낮은위험," 69,200,000,000 ",1.20
38,하나증권,한국투자e단기채ESG증권투자신탁(채권)C-W,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-W,낮은위험," 91,600,000,000 ",1.20
39,하나증권,한국투자e단기채ESG증권투자신탁(채권)C-F,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-F,낮은위험," 91,600,000,000 ",0.94
40,하나증권,한국투자e단기채ESG증권투자신탁(채권)A-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-e,낮은위험," 91,600,000,000 ",0.94
41,하나증권,한국투자e단기채ESG증권투자신탁(채권)C-P,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-P,낮은위험," 91,600,000,000 ",0.91
42,하나증권,한국투자크레딧포커스ESG증권자투자신탁1호(채권)C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,낮은위험," 401,600,000,000 ",0.92
43,하나증권,한국투자e단기채ESG증권투자신탁(채권) 종류A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,낮은위험," 91,600,000,000 ",0.92
44,하나증권,한국투자크레딧포커스ESG증권자투자신탁1호(채권)C-P,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-P,낮은위험," 401,600,000,000 ",0.92
45,하나증권,한국투자e단기채ESG증권투자신탁(채권)C-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-e,낮은위험," 91,600,000,000 ",0.92
46,하나증권,한국투자크레딧포커스ESG증권자투자신탁1호(채권)A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,낮은위험," 401,600,000,000 ",0.93
47,하나증권,한국투자e단기채ESG증권투자신탁(채권)C-Pe,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,낮은위험," 91,600,000,000 ",0.93
48,하나증권,한국투자e단기채ESG증권투자신탁(채권)C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,낮은위험," 91,600,000,000 ",0.90
49,하나증권,한국밸류글로벌배당인컴&K-ESG청년형소득공제장기증권자투자신탁(주식)(C-E),https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-E,높은위험, - ,2.60
50,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)C-P,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-P,높은위험," 2,300,000,000 ",2.78
51,하나증권,트러스톤ESG제갈공명증권투자신탁[주식]W,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,W,높은위험," 16,200,000,000 ",0.00
52,하나증권,우리지속가능ESG증권자투자신탁2호(주식)ClassA-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-e,높은위험," 1,300,000,000 ",0.00
53,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류Ag,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ag,매우낮은위험," 69,200,000,000 ",0.00
54,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류Cg,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Cg,매우낮은위험," 69,200,000,000 ",0.00
55,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류CI,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,CI,매우낮은위험," 69,200,000,000 ",0.00
56,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)C-G,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-G,높은위험," 2,300,000,000 ",0.00
57,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,높은위험," 2,300,000,000 ",2.77
58,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)C-I,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-I,높은위험," 2,300,000,000 ",0.00
59,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식]_Ag,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ag,높은위험," 26,700,000,000 ",0.00
60,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,높은위험," 2,300,000,000 ",2.85
61,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)C-E,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-E,높은위험," 2,300,000,000 ",2.90
62,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)C-Pe,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,높은위험," 2,300,000,000 ",2.90
63,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)A-G,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-G,높은위험," 2,300,000,000 ",2.92
64,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)A-E,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-E,높은위험," 2,300,000,000 ",2.94
65,하나증권,한국밸류지속성장ESG증권자투자신탁(주식)C-W,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-W,높은위험," 2,300,000,000 ",3.03
66,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식]_Ci,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ci,높은위험," 26,700,000,000 ",0.00
67,하나증권,다올ESG1등단기채권증권자투자신탁[채권]종류C-P,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-P,매우낮은위험," 69,200,000,000 ",0.00
68,하나증권,우리하이플러스단기우량ESG채권증권자투자신탁1호(채권)C-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-e,낮은위험," 7,900,000,000 ",0.72
69,하나증권,브이아이ESG굿초이스증권자투자신탁1호[채권]C-E,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-E,낮은위험," 3,500,000,000 ",-1.13
70,하나증권,트러스톤ESG지배구조레벨업증권자투자신탁[주식]C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,높은위험," 24,200,000,000 ",-5.19
71,하나증권,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Cp,높은위험," 24,000,000,000 ",-5.12
72,하나증권,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,높은위험," 24,000,000,000 ",-5.12
73,하나증권,트러스톤ESG지배구조레벨업증권자투자신탁[주식]W,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,W,높은위험," 24,200,000,000 ",-5.07
74,하나증권,트러스톤ESG지배구조레벨업증권자투자신탁[주식]CP-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,CP-e,높은위험," 24,200,000,000 ",-5.03
75,하나증권,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Ae,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ae,높은위험," 24,200,000,000 ",-5.03
76,하나증권,트러스톤ESG제갈공명증권투자신탁[주식]A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,높은위험," 16,200,000,000 ",-5.03
77,하나증권,트러스톤ESG지배구조레벨업증권자투자신탁[주식]I,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,I,높은위험," 24,200,000,000 ",-4.95
78,하나증권,트러스톤ESG제갈공명증권투자신탁[주식]Ce,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ce,높은위험," 16,200,000,000 ",-5.66
79,하나증권,한국투자글로벌착한기업ESG증권투자신탁(주식-재간접형)A-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-e,높은위험," 4,400,000,000 ",-6.18
80,하나증권,우리G코리아ESG증권자투자신탁[주식]C€,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C€,높은위험," 11,900,000,000 ",-6.99
81,하나증권,우리G코리아ESG증권자투자신탁[주식]A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,높은위험," 11,900,000,000 ",-6.99
82,하나증권,한국투자글로벌착한기업ESG증권투자신탁(주식-재간접형)C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,높은위험," 4,400,000,000 ",-6.35
83,하나증권,한국투자글로벌착한기업ESG증권투자신탁(주식-재간접형)A,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,높은위험," 4,400,000,000 ",-6.24
84,하나증권,한국투자글로벌착한기업ESG증권투자신탁(주식-재간접형)C-e,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-e,높은위험," 4,400,000,000 ",-6.24
85,하나증권,한국투자글로벌착한기업ESG증권투자신탁(주식-재간접형)C-Pe,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,높은위험," 4,400,000,000 ",-6.22
86,하나증권,트러스톤ESG제갈공명증권투자신탁[주식]C1,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C1,높은위험," 16,200,000,000 ",-5.78
87,하나증권,우리하이플러스단기우량ESG채권증권자투자신탁1호(채권)C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,낮은위험," 7,900,000,000 ",0.70
88,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식]_C,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,높은위험," 26,700,000,000 ",-4.67
89,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식]_Cg,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Cg,높은위험," 26,700,000,000 ",-4.60
90,하나증권,키움ESG중장기우량채증권자투자신탁제1호[채권] Class C1,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C1,낮은위험," 7,100,000,000 ",-1.60
91,하나증권,키움ESG중장기우량채증권자투자신탁제1호[채권] Class C-P,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-P,낮은위험," 7,100,000,000 ",-1.59
92,하나증권,키움ESG중장기우량채증권자투자신탁제1호[채권],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-e,낮은위험," 7,100,000,000 ",-1.55
93,하나증권,키움ESG중장기우량채증권자투자신탁제1호[채권],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,낮은위험," 7,100,000,000 ",-1.55
94,하나증권,키움ESG중장기우량채증권자투자신탁제1호[채권]  ,https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-e,낮은위험," 7,100,000,000 ",-1.54
95,하나증권,브이아이ESG굿초이스증권자투자신탁1호[채권],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C1,낮은위험," 7,100,000,000 ",-1.18
96,하나증권,우리지속가능ESG증권자투자신탁2호(주식),https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C,높은위험," 1,300,000,000 ",-3.61
97,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,높은위험," 26,700,000,000 ",-4.63
98,하나증권,우리지속가능ESG증권자투자신탁1호(주식),https://www.hanaw.com/main/finance/fund/FP_020105_P.층,B-e,높은위험," 26,700,000,000 ",-3.88
99,하나증권,우리지속가능ESG증권자투자신탁1호(주식),https://www.hanaw.com/main/finance/fund/FP_020105_P.층,B-e,높은위험," 7,000,000,000 ",-3.97
100,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-e,높은위험," 26,700,000,000 ",-4.58
101,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,높은위험," 26,700,000,000 ",-4.54
102,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Ae,높은위험," 26,700,000,000 ",-4.51
103,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Cf,높은위험," 26,700,000,000 ",-4.45
104,하나증권,삼성ESG착한책임투자증권투자신탁제1호[주식],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,Cw,높은위험," 26,700,000,000 ",-4.44
105,하나증권,우리지속가능ESG증권자투자신탁1호(주식),https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A,높은위험," 7,000,000,000 ",-4.06
106,하나증권,우리지속가능ESG증권자투자신탁1호(주식),https://www.hanaw.com/main/finance/fund/FP_020105_P.층,A-e,높은위험," 7,000,000,000 ",-3.93
107,하나증권,올ESG1등단기채권증권자투자신탁[채권],https://www.hanaw.com/main/finance/fund/FP_020105_P.층,C-Pe,매우낮은위험," 69,200,000,000 ",0
108,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BV9589&menuId=m50070000,(C-W),저위험," 435,435,000,000 ",0.98%
109,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BV9522&menuId=m50070000,(A-e),저위험," 435,435,000,000 ",0.95%
110,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BV9571&menuId=m50070000,(C-Re),저위험," 435,435,000,000 ",0.95%
111,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101CH6269&menuId=m50070000,(C-Pe),저위험," 435,435,000,000 ",0.95%
112,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101CX0049&menuId=m50070000,(A1),저위험," 145,063,000,000 ",0.94%
113,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BT7249&menuId=m50070000,(A-e),저위험," 145,063,000,000 ",0.94%
114,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=KR5101888398&menuId=m50070000,(C-e),저위험," 435,435,000,000 ",0.94%
115,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BT7272&menuId=m50070000,"(C-Re)
",저위험," 145,063,000,000 ",0.93%
116,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BT7264&menuId=m50070000,"(C-Pe)
",저위험," 145,063,000,000 ",0.93%
117,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=KR5101888372&menuId=m50070000,(A),저위험," 435,435,000,000 ",0.93%
118,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BH5320&menuId=m50070000,(A),저위험," 145,063,000,000 ",0.92%
119,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BT7256&menuId=m50070000,(C-e),저위험," 145,063,000,000 ",0.92%
120,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BA9717&menuId=m50070000,(C-R),저위험," 145,063,000,000 ",0.92%
121,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=KR5101888380&menuId=m50070000,(C),저위험," 435,435,000,000 ",0.92%
122,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BV9563&menuId=m50070000,(C-R),저위험," 435,435,000,000 ",0.92%
123,KB증권,한국투자크레딧포커스ESG증권자투자신탁 1(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101CH6251&menuId=m50070000,(C-P),저위험," 435,435,000,000 ",0.92%
124,KB증권,한국투자e단기채ESG증권투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55101BA9683&menuId=m50070000,(C),저위험," 145,063,000,000 ",0.90%
125,KB증권,KB스타ESG우량중단기채증권자투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55223DJ9677&menuId=m50070000,A-E,저위험," 114,368,000,000 ",0.54%
126,KB증권,KB스타ESG우량중단기채증권자투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55223DJ9669&menuId=m50070000,A,저위험," 114,368,000,000 ",0.53%
127,KB증권,KB스타ESG우량중단기채증권자투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55223DJ9701&menuId=m50070000,C-E,저위험," 114,368,000,000 ",0.52%
128,KB증권,KB스타ESG우량중단기채증권자투자신탁(채권),https://www.kbsec.com/go.able?linkcd=s010100020000&amak_stnd_cd=K55223DJ9693&menuId=m50070000,C,저위험," 114,368,000,000 ",0.50%
129,신한투자증권,한국투자크레딧포커스증권자ESG1호[채권],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2034105&menuId=10205022&tabIdx=,(C-W),낮은위험, 436500000000	 ,0.87%
130,신한투자증권,신한글로벌지속가능경영ESG증권투자신탁(H)[주혼-재간접],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2127703&menuId=10205022&tabIdx=,(C-e),다소높은위험, 17100000000	 ,-5.70%
131,신한투자증권,신한지속가능경영ESG중장기채권자투자신탁[채권],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2130901&menuId=10205022&tabIdx=,(A1),낮은위험, 9100000000	 ,5.34%
132,신한투자증권,신한지속가능경영ESG중장기채권자투자신탁[채권],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2130902&menuId=10205022&tabIdx=,(A-e),낮은위험, 9300000000	 ,-1.24%
133,신한투자증권,신한글로벌지속가능경영ESG증권투자신탁(H)[주혼-재간접],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2127702&menuId=10205022&tabIdx=,(C1),다소높은위험, 17100000000	 ,-5.82%
134,신한투자증권,한국투자크레딧포커스증권자ESG1호[채권],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2034108&menuId=10205022&tabIdx=,(C-Pe),낮은위험, 436500000000	 ,0.85%
135,신한투자증권,신한지속가능경영ESG중장기채권자투자신탁[채권],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2130906&menuId=10205022&tabIdx=,(C-pe),낮은위험," 9,300,000,000 ",-1.58
136,신한투자증권,한국투자크레딧포커스ESG증권자투자신탁1호[채권],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2034107&menuId=10205022&tabIdx=,(C-P),낮은위험, 436500000000	 ,0.82%
137,신한투자증권,신한글로벌지속가능경영ESG증권투자신탁(H)[주혼-재간접],https://www.shinhansec.com/siw/wealth-management/fund/599001/view.do?fund_code=2127701&menuId=10205022&tabIdx=,(A-e),다소높은위험," 17,100,000,000 ",-5.64%
