point,title,market
60 P, 친환경 적겨자, 이마트
140 P, 유기농 제스프리 킹골드키위 (2입), 이마트
1040 P, 친환경 제주 그린레몬(3~6입), 이마트
240 P, 친환경 칼라방울토마토(500g/팩), 이마트
170 P, 친환경 무(개), 이마트
240 P, 친환경 양파 800g, 이마트
370 P, 친환경 실속 양파 2kg, 이마트
190 P, 친환경 저민마늘(봉), 이마트
170 P, 유기농 부추(봉), 이마트
100 P, 친환경 절단대파 250g, 이마트
490 P, 친환경 남해 통마늘기획(3등급), 이마트
340 P, (국산의힘)유기농 고구마 800g(봉), 이마트
220 P, 무농약 연근(봉), 이마트
220 P, 친환경 당근(500g/봉), 이마트
240 P, 친환경 감자(1kg/봉), 이마트
170 P, 친환경 가지(2입/봉), 이마트
90 P, 친환경 애호박(개), 이마트
290 P, 친환경 파프리카(2입/봉), 이마트
140 P, 친환경 피망(봉), 이마트
190 P, 친환경 백오이 3입 (봉), 이마트
190 P, 친환경 얼갈이(봉), 이마트
190 P, 친환경 열무(봉), 이마트
190 P, 친환경 아욱(봉), 이마트
190 P, 친환경 시금치(봉), 이마트
240 P, 무농약미나리(봉), 이마트
220 P, 유기농 녹즙신선초(봉), 이마트
60 P, 무농약 추부깻잎(봉), 이마트
140 P, 친환경 청경채 180g/팩, 이마트
140 P, 친환경 양배추(통), 이마트
190 P, 친환경 깐마늘(봉), 이마트
140 P, 친환경 시금치, 이마트
210 P, 몽베스트[1L]*6, 한국청정음료
70 P, 빙그레 바나나맛 우유[240ml], 빙그레
50 P, 달콤한 베지밀 비, 정식품
120 P, 친환경 조각무(개), 이마트
10 %, 엽경채류-근대, 로컬푸드 직매장
10 %, 엽경채류-갓, 로컬푸드 직매장
10 %, 엽경채류-쑥갓, 로컬푸드 직매장
10 %, 엽경채류-깻잎, 로컬푸드 직매장
10 %, 엽경채류-부추, 로컬푸드 직매장
10 %, 엽경채류-미나리, 로컬푸드 직매장
10 %, 엽경채류-시금치, 로컬푸드 직매장
10 %, 엽경채류-순무, 로컬푸드 직매장
10 %, 엽경채류-열무, 로컬푸드 직매장
10 %, 엽경채류-상추, 로컬푸드 직매장
10 %, 엽경채류-양배추, 로컬푸드 직매장
10 %, 엽경채류-봄동배추, 로컬푸드 직매장
10 %, 엽경채류-얼갈이배추, 로컬푸드 직매장
10 %, 엽경채류-배추, 로컬푸드 직매장
10 %, 과채류-기타, 로컬푸드 직매장
10 %, 과채류-박, 로컬푸드 직매장
10 %, 과채류-가지, 로컬푸드 직매장
10 %, 과채류-호박, 로컬푸드 직매장
10 %, 양채류-루꼴라, 로컬푸드 직매장
140 P, 유기농 팝짱 단호박, 이마트
90 P, 유기농 딸기 쌀떡뻥 25g, 이마트
290 P, 유기인증 조미재래김 16입, 이마트
290 P, 유기인증 조미돌구이김 16입, 이마트
190 P, Dole 유기농 바나나(봉), 이마트
280 P, 유기농 느린수정과(냉장/1000ml), 서정쿠킹
280 P, 유기농 느린식혜(냉장/1000ml), 서정쿠킹
2630 P, 유기농]백미10kg(안성), 올가홀푸드
2490 P, 안성 백미(무농약/10kg), 올가홀푸드
1120 P, 친환경 유기농 쌀 4kg, 고삼농협(판매)
1490 P, 안성]백미7kg(무농약), 올가홀푸드
1100 P, 친환경 무농약쌀 4kg, 고삼농협(판매)
80 P, 뚜또 유기농 블루베리 푸딩 160g, 이마트
170 P, 머위대(300g/유기), 두레생협
1490 P, 오렌지(유기농/황금향)/3kg/박스/특, 하나로마트
7600 P, 사과(저탄소)/10kg/박스/40내, 하나로마트
540 P, 포도(친환경/머루포도)/1.5kg/박스, 하나로마트
1040 P, 포도(무농약/켐벨)/4kg/박스, 하나로마트
15000 P, 배(저탄소/15kg/박스/20내), 하나로마트
270 P, 아로니아(무농약)/1kg/팩, 하나로마트
3250 P, 배(무농약)7.5kg/12내/박스, 하나로마트
3310 P, 배(친환경)7.5kg/10내/박스, 하나로마트
4870 P, 감귤(저탄소)/3kg/박스/선물세트/특(35~40내), 하나로마트
1110 P, 감귤(저탄소)/800g/팩, 하나로마트
10 P, 황금향(저탄소)/5kg/박스/선물세트/특(15~22내), 하나로마트
640 P, 포도(유기농/켐벨)/1kg/박스/특, 하나로마트
1870 P, 딱딱이복숭아(저탄소/1.8kg/8내/국산), 하나로마트
2530 P, 딱딱한복숭아(저탄소/1.8kg/5~8내/국산), 하나로마트
1750 P, 황금향(저탄소)1.8kg/15내/박스/국내산, 하나로마트
1730 P, 자두(저탄소/1.5kg/박스), 하나로마트
16570 P, 배(저탄소)/15kg/18과/특, 하나로마트
110 P, 노랑대추방울토마토(친환경)/500g/팩/특, 하나로마트
780 P, 토마토(대저토마토/뜨라네/무농약)/4kg/박스, 하나로마트
4030 P, 방울토마토(무농약)/10kg/박스/특, 하나로마트
2990 P, 대추방울토마토(무농약)/10kg/박스/특, 하나로마트
1260 P, 토마토(친환경/짭짤이)/2kg/박스/특, 하나로마트
1620 P, 방울토마토(친환경)/5kg/박스/특(상품화), 하나로마트
60 P, 이탈리안샐러드(친환경)60g/팩/특/특품, 하나로마트
60 P, 대상/친환경/딸기(소분), 하나로마트
390 P, 비가림감귤(무농약)/1.5kg/팩(박스), 하나로마트
870 P, 비가림감귤(무농약)/2kg/박스, 하나로마트
5070 P, 사과(저탄소/투명창)5kg/13내/박스/실속(상)/국산, 하나로마트
1300 P, 오렌지(무농약/한라봉)/5kg/15내/박스/특, 하나로마트
600 P, 참외(친환경)/1.2kg/10내/봉지/특, 하나로마트
700 P, 파파야플러스 주방세제 300mL 리필, 진케미칼
1500 P, 살리미 EM발효농축 주방세제(750ml), 에버미라클
4120 P, EM 활성액, 에버미라클
70 P, 유기농까까 뽀로로 떡뻥 자색고구마, 이마트
70 P, 유기농까까 뽀로로 떡뻥 단호박, 이마트
70 P, 유기농까까 뽀로로 떡뻥 백미 10g, 이마트
90 P, 유기농 해와달과 별 30g, 올가홀푸드
320 P, 조각브로컬리(친환경/300g), 올가홀푸드
4990 P, 무농약 상주곶감 세트, 이마트
720 P, 곰취나물(1kg/유기/절임용), 두레생협
270 P, 검정찰보리(800g/유기), 두레생협
240 P, 땅두릅(200g/무농약), 두레생협
170 P, 달래(80g/무농약), 두레생협
12000 P, 무농약 참외(10kg), 두레생협
980 P, 무농약 생유자(2kg), 두레생협
870 P, [친환경]팔도특산 19곡영양밥(유기농/2kg), 올가홀푸드
590 P, [산지]백미찹쌀(무농약/2kg), 올가홀푸드
1040 P, [산지]현미찹살(무농약/4kg), 올가홀푸드
1070 P, [산지]백미찹쌀(무농약/4kg), 올가홀푸드
470 P, [산지]현미(무농약/2kg), 올가홀푸드
870 P, [산지]현미(무농약/4kg), 올가홀푸드
2390 P, [산지]안성 백미(무농약/10kg), 올가홀푸드
1970 P, [산지]백미(무농약/10kg), 올가홀푸드
890 P, [산지]백미(무농약/4kg), 올가홀푸드
390 P, [친환경]흑미(유기농/500g), 올가홀푸드
1900 P, [산지]대저토마토 3kg, 올가홀푸드
150 P, 부지갱이나물(200g/무농약), 두레생협
140 P, 양배추(500g/무농약), 두레생협
100 P, 유기농설탕1kg(가공용), 올가홀푸드
220 P, 특판-딸기(무농약/5kg), 올가홀푸드
1200 P, Ban-B 70미터, (사)한국지체장애인협회(춘천시장애인근로사업장)
3510 P, Ban-B 50m, (사)한국지체장애인협회(춘천시장애인근로사업장)
3450 P, Ban-B 중질지 70g B4, (사)한국지체장애인협회(춘천시장애인근로사업장)
2380 P, Ban-B 중질지 70g A4, (사)한국지체장애인협회(춘천시장애인근로사업장)
3220 P, Ban-B 중질지 60g B4, (사)한국지체장애인협회(춘천시장애인근로사업장)
2190 P, Ban-B 중질지 60g A4, (사)한국지체장애인협회(춘천시장애인근로사업장)
2530 P, Ban-B 신문용지 54g B4, (사)한국지체장애인협회(춘천시장애인근로사업장)
1650 P, Ban-B 신문용지 54g A4, (사)한국지체장애인협회(춘천시장애인근로사업장)
4370 P, Ban-B 친환경 복사용지 75g B4, (사)한국지체장애인협회(춘천시장애인근로사업장)
2760 P, Ban-B 친환경 복사용지 75g A4, (사)한국지체장애인협회(춘천시장애인근로사업장)
190 P, EM 세탁비누 300g, 소화아람일터
1180 P, 콘타모 모사사우루스 L, 메리스랩
1180 P, 콘타모 스피노사우루스 L, 메리스랩
1180 P, 콘타모 프테라노돈 L, 메리스랩
1180 P, 콘타모 브라키오사우루스 L, 메리스랩
1180 P, 콘타모 트리케라톱스 L, 메리스랩
1180 P, 콘타모 안킬로사우루스 L, 메리스랩
1180 P, 콘타모 스테고사우루스 L, 메리스랩
1180 P, 콘타모 티라노사우루스 L, 메리스랩
2910 P, 콘타모SE 곰, 메리스랩
2250 P, 초고농축원액세제(NS-1000), 뉴세제코리아
4500 P, 식기세척기용세제(NS-1200), 뉴세제코리아
160 P, 무농약이상_브로콜리, 초록마을
340 P, 무농약 한입딸기(중 900g/팩), 이마트
930 P, 순샘 구연산x자몽향 1kg 용기, 애경산업
1120 P, 순샘 베이킹소다x피톤치드향 1kg 용기, 애경산업
1640 P, 순샘 구연산자몽 4.8L 용기, 애경산업
1170 P, 순샘 구연산 자몽 1.6L 리필, 애경산업
1170 P, 순샘 베이킹소다x피톤치드 1.6L 리필, 애경산업
1450 P, (포장저감)근대(4kg/무농약), 두레생협
490 P, 발아흑미(800g/유기), 두레생협
460 P, 햇귀리(1kg/유기), 두레생협
210 P, 양배추(1.5kg/무농약), 두레생협
350 P, 청양건고추(100g/유기), 두레생협
190 P, 흙냉이(150g/유기), 두레생협
440 P, 청차조(300g/유기), 두레생협
80 P, 유기농당근1kg(특판용), 올가홀푸드
300 P, 유기농백다다기오이1kg(특판용), 올가홀푸드
90 P, 유기농양파1kg(특판용), 올가홀푸드
540 P, 햇밤(1kg/유기), 두레생협
1500 P, 밤고구마(5kg/무농약), 두레생협
540 P, 사과대추(500g/유기), 두레생협
1400 P, (포장저감)양파(10kg/무농약), 두레생협
210 P, 가지(5입/무농약), 두레생협
4450 P, [라이브방송]유기농 표고친환경 세트 4호, 올가홀푸드
9750 P, 코주부 화장지 70m, 부림제지
2870 P, 원삼유기농쌀10kg, 이마트
1300 P, 원삼유기농쌀4/국산, 이마트
60 P, 무농약무순40g, 초록마을
130 P, 우리아이입안애유기농어린잎(어린이용)80g, 초록마을
130 P, 유기농어린잎(청장년층)80g, 초록마을
140 P, 무농약바질10g, 초록마을
150 P, 유기농와일드루꼴라50g, 초록마을
190 P, 친환경아삭샐러드250g, 초록마을
230 P, 친환경컬러샐러드300g, 초록마을
400 P, 무농약황금꽃송이버섯90g, 초록마을
490 P, [친환경]콩국수용 서리태(무농약/800g), 올가홀푸드
1190 P, 친환경]무농약 서리태(무농약/1.5kg), 올가홀푸드
890 P, [친환경]유기농 적두(유기농/800g), 올가홀푸드
940 P, [친환경]현미찹쌀(유기농/1.8kg)*2봉, 올가홀푸드
740 P, [친환경]친환경 적두(친환경/800g), 올가홀푸드
390 P, 유기농 햇밤(700g/팩), 이마트
590 P, 무농약 캠벨포도(1.2Kg/팩), 이마트
240 P, 무농약 제주 청귤(800g/팩), 이마트
1320 P, 저탄소인증 미니사과(루비에스), 이마트
1190 P, 저탄소인증 햇사과(1.4kg이상/봉), 이마트
740 P, 저탄소인증 햇사과(1kg이상/봉), 이마트
690 P, 무농약 무화과(1kg/팩), 이마트
340 P, 무농약 무화과(500g/팩), 이마트
2070 P, 저탄소인증 황금향(1kg), 이마트
1920 P, 저탄소인증 샤인머스캣(650g/팩), 이마트
1190 P, 저탄소인증 포모사자두(1kg/팩), 이마트
890 P, 저탄소인증 아오리사과(5~7입/봉), 이마트
890 P, 저탄소인증 아오리사과(5~6입/봉), 이마트
2070 P, 저탄소인증 아삭복숭아(5~7입/팩), 이마트
7470 P, 저탄소인증 사과/배 혼합세트(9과), 이마트
1040 P, 저탄소인증 포모사자두(900g/팩), 이마트
1190 P, 저탄소인증 포모사자두(1kg/팩), 이마트
240 P, 친환경 토마토(900g/팩), 이마트
8970 P, 저탄소 샤인머스캣+사과 혼합세트, 이마트
1190 P, 저탄소인증 대석자두(1kg/팩), 이마트
1630 P, 저탄소인증 하우스감귤(1kg), 이마트
290 P, 국산 유기농바나나(3~4입), 이마트
1320 P, 저탄소인증 캔탈로프(1.3kg/통), 이마트
1330 P, 저탄소인증 하미과, 이마트
80 P, 친환경 아삭이상추 150g, 이마트
740 P, 저탄소인증 블랙체인지750g, 이마트
1300 P, 저탄소인증 하우스감귤 500g, 이마트
490 P, 친환경 제주블루베리(300g/팩), 이마트
240 P, 무농약 마늘쫑 300g, 이마트
120 P, 친환경 조각 양배추 (400g), 이마트
240 P, 클리어파일(NO:0941) 블루 40P, 엘리트프랜즈
100 P, 친환경 세척무, 이마트
1490 P, 저탄소인증 사과(4~7입/봉), 이마트
11970 P, 저탄소인증 사과/배 혼합세트, 이마트
8970 P, 저탄소인증 사과 세트, 이마트
390 P, 친환경 토마토(1kg/봉), 이마트
240 P, 친환경 대파(300g/봉), 이마트
190 P, 무농약 모듬쌈 200g (팩), 이마트
140 P, 친환경 모둠쌈 (200g/봉), 이마트
1620 P, 저탄소 인증 배(4입/봉), 이마트
640 P, 친환경 하우스 감귤(1kg/팩), 이마트
240 P, 무농약 우엉(봉), 이마트
320 P, 유기농 아스파라거스(봉), 이마트
90 P, 친환경 청양고추(봉), 이마트
60 P, 친환경 강원 애호박, 이마트
170 P, 친환경 간편단호박(300g/팩), 이마트
340 P, 친환경 캠벨포도(1~3입/팩), 이마트
370 P, 친환경 메론(통/상), 이마트
140 P, 친환경 꽈리고추(봉), 이마트
190 P, 친환경 대파 300g(봉), 이마트
690 P, (국산의힘)유기농 성주참외(1.5kg/봉), 이마트
160 P, 친환경 미니단호박 2입, 이마트
240 P, 친환경 실속형대파(200g/봉), 이마트
140 P, 친환경 깐마늘(봉), 이마트
10 P, 친환경 파프리카(봉), 이마트
270 P, 친환경 아스파라거스 150g, 이마트
190 P, 무농약 적채, 이마트
570 P, 무농약 딸기500g, 이마트
190 P, 친환경 브로커리(봉), 이마트
170 P, 친환경 양상추(봉), 이마트
190 P, 친환경 단호박(통), 이마트
140 P, 친환경 해풍시금치(봉), 이마트
740 P, 유기농 고구마(1.8kg/박스), 이마트
80 P, 뚜또 유기농 망고 푸딩 160g, 이마트
490 P, 달콤 아삭 꿀 참외 1kg, 올가홀푸드
320 P, 연근말림(100g/무농약), 두레생협
320 P, 통연근(400g/무농약), 두레생협
250 P, 통우엉(300g/무농약), 두레생협
290 P, [연꽃마을]연근채(친환경/300g), 올가홀푸드
190 P, [연꽃마을]우엉채(무농약/200g), 올가홀푸드
280 P, 우엉채(250g/무농약), 두레생협
300 P, 연근채(250g/무농약), 두레생협
270 P, [연꽃마을]통우엉(무농약/300g), 올가홀푸드
600 P, 스파클 먹는샘물 2.0L*6, 스파클
1050 P, 스파클 먹는샘물[500mL]*20, 스파클
20 P, 스파클 먹는샘물 330mL, 스파클
100 P, 스파클 먹는샘물 [2.0L], 스파클
70 P, 스파클 먹는샘물[500mL], 스파클
1180 P, 생활공작소 주방세제 석류식초, 생활공작소
1180 P, 생활공작소 주방세제 쌀뜨물, 생활공작소
90 P, 유기농 블루베리 쌀떡뻥 25g, 이마트
90 P, 유기농 사과쌀떡뻥 25g, 이마트
90 P, 유기농 단호박 쌀떡뻥 25g, 이마트
690 P, 무농약 찹쌀2kg, 이마트
640 P, 무농약 찹쌀3kg, 이마트
1350 P, 무농약쌀청심4kg, 송포농협(판매)
2810 P, 무농약쌀청심10kg, 송포농협(판매)
1350 P, AGECARE 유기농 새싹 보리분말 80g, 올가홀푸드
440 P, 트라피스트 수녀원 유기 귤잼, 이마트
440 P, 트라피스트 수녀원 유기 포도잼, 이마트
440 P, 트라피스트 수녀원 유기 무화과잼, 이마트
440 P, 트라피스트 수녀원 유기 딸기잼, 이마트
390 P, N유기농포도쨈400g, 이마트
390 P, N유기농딸기쨈400g, 이마트
2990 P, 유기 곱창돌김 선물세트, 이마트
3380 P, 배(유기농)7.5kg/10내/박스, 하나로마트
1870 P, 배(저탄소)/3kg/박스/5~7과/특, 하나로마트
110 P, 대추방울토마토(친환경)/200g/팩/특, 하나로마트
2110 P, 대추방울토마토(친환경)/5kg/박스/특(상품화), 하나로마트
3410 P, 딱딱한복숭아(저탄소/3kg/12내/국산), 하나로마트
7410 P, 천도복숭아(저탄소)/10kg/박스/55내/특, 하나로마트
7700 P, 천도복숭아(저탄소)/10kg/박스/45내/특, 하나로마트
1130 P, 자두(저탄소)/1.2kg/팩/특, 하나로마트
1480 P, 천도복숭아(저탄소)/1.5kg/팩/특, 하나로마트
830 P, 레드향(친환경)/개, 하나로마트
1030 P, 자두(저탄소)/2kg/팩/(꼬마자두), 하나로마트
1240 P, 감귤(하우스)/저탄소/600g/팩/특, 하나로마트
6820 P, 감귤(하우스)/저탄소/3kg/박스/특, 하나로마트
1150 P, 오렌지(저탄소/청견)/1.2kg/망/특/국산, 하나로마트
2880 P, 오렌지(저탄소/청견)/3kg/박스/특/국산, 하나로마트
8190 P, 오렌지(저탄소/청견)/10kg/박스/특/국산, 하나로마트
550 P, 딸기(친환경)/1kg/상/스치로플, 하나로마트
520 P, 딸기(친환경)/1kg/특/스치로플, 하나로마트
